Country,Year,Value
Lao People's Dem. Rep.,1995,52
Lao People's Dem. Rep.,2005,143
Lao People's Dem. Rep.,2010,385
Lao People's Dem. Rep.,2020,227
Lao People's Dem. Rep.,2021,6
Latvia,1995,37
Latvia,2005,446
Lebanon,1995,710
Lebanon,2005,5969
Lebanon,2010,8026
Lebanon,2020,2369
Lebanon,2021,3162
Lesotho,1995,27
Lesotho,2005,27
Lesotho,2010,23
Lesotho,2020,6
Lesotho,2021,10
Lesotho,2022,11
Liberia,2005,67
Liberia,2020,4
Liberia,2021,4
Liberia,2022,4
Libya,1995,4
Libya,2005,301
Libya,2010,170
Libya,2020,93
Lithuania,1995,77
Lithuania,2005,920
Lithuania,2010,958
Lithuania,2020,574
Lithuania,2021,585
Lithuania,2022,1174
Luxembourg,2005,4867
Luxembourg,2010,6057
Luxembourg,2020,4668
Luxembourg,2021,5906
Luxembourg,2022,5737
Madagascar,1995,106
Madagascar,2005,275
Madagascar,2010,425
Madagascar,2020,202
Madagascar,2021,118
Madagascar,2022,405
Malawi,1995,22
Malawi,2005,48
Malawi,2010,45
Malawi,2020,28
Malawi,2021,29
Malaysia,1995,5044
Malaysia,2005,10389
Malaysia,2010,19619
Malaysia,2020,3373
Malaysia,2021,117
Malaysia,2022,7816
Maldives,2020,1408
Maldives,2021,3525
Maldives,2022,4513
Mali,1995,26
Mali,2005,149
Mali,2010,208
Mali,2020,82
Mali,2021,191
Malta,1995,656
Malta,2005,755
Malta,2010,1066
Malta,2020,392
Malta,2021,772
Malta,2022,1590
Marshall Islands,1995,3
Marshall Islands,2005,4
Marshall Islands,2010,4
Marshall Islands,2020,4
Martinique,1995,384
Martinique,2005,280
Martinique,2010,472
Martinique,2020,280
Martinique,2021,283
Martinique,2022,535
Mauritania,2020,6
Mauritania,2021,7
Mauritania,2022,17
Mauritius,1995,616
Mauritius,2005,1189
Mauritius,2010,1585
Mauritius,2020,518
Mauritius,2021,383
Mauritius,2022,1652
Mexico,1995,6847
Mexico,2005,13908
Mexico,2010,14529
Mexico,2020,12133
Mexico,2021,21508
Mexico,2022,30398
Micronesia (Fed. States of),2010,24
Mongolia,1995,33
Mongolia,2005,203
Mongolia,2010,288
Mongolia,2020,49
Mongolia,2021,34
Mongolia,2022,261
Montenegro,2010,765
Montenegro,2020,180
Montenegro,2021,903
Montenegro,2022,1110
Montserrat,1995,17
Montserrat,2005,9
Montserrat,2010,6
Montserrat,2020,5
Montserrat,2021,2
Montserrat,2022,5
Morocco,1995,1469
Morocco,2005,5426
Morocco,2010,8176
Morocco,2020,4514
Morocco,2021,4670
Morocco,2022,10415
Mozambique,2005,138
Mozambique,2010,135
Mozambique,2020,113
Mozambique,2021,188
Mozambique,2022,290
Myanmar,1995,169
Myanmar,2005,83
Myanmar,2010,91
Namibia,2005,362
Namibia,2010,471
Namibia,2020,131
Namibia,2021,135
Namibia,2022,294
Nauru,2010,1
Nepal,1995,232
Nepal,2005,160
Nepal,2010,378
Nepal,2020,238
Nepal,2021,176
Nepal,2022,433
Netherlands (Kingdom of the),1995,10611
Netherlands (Kingdom of the),2020,10708
Netherlands (Kingdom of the),2021,10457
Netherlands (Kingdom of the),2022,18583
New Caledonia,1995,108
New Caledonia,2005,149
New Caledonia,2010,129
New Zealand,1995,2318
New Zealand,2005,6486
New Zealand,2010,6523
New Zealand,2020,5686
New Zealand,2021,2875
New Zealand,2022,4096
Nicaragua,1995,50
Nicaragua,2005,206
Nicaragua,2010,314
Nicaragua,2020,199
Nicaragua,2021,184
Nicaragua,2022,596
Niger,2005,44
Niger,2010,106
Niger,2020,97
Niger,2021,143
Nigeria,1995,47
Nigeria,2005,139
Nigeria,2010,736
Nigeria,2020,321
Nigeria,2021,265
Nigeria,2022,1142
Niue,1995,2
Niue,2005,1
Niue,2010,2
North Macedonia,2005,116
North Macedonia,2010,199
North Macedonia,2020,253
North Macedonia,2021,387
North Macedonia,2022,483
Northern Mariana Islands,1995,655
Norway,1995,2730
Norway,2005,4243
Norway,2010,5299
Norway,2020,2172
Norway,2021,2401
Norway,2022,6445
Oman,2005,627
Oman,2010,1072
Oman,2020,722
Oman,2021,511
Other non-specified areas,1995,3985
Other non-specified areas,2005,5740
Other non-specified areas,2010,10387
Other non-specified areas,2020,2346
Other non-specified areas,2021,860
Other non-specified areas,2022,3381
Pakistan,1995,582
Pakistan,2005,828
Pakistan,2010,998
Pakistan,2020,765
Pakistan,2021,884
Pakistan,2022,1182
Palau,2005,63
Palau,2010,76
Panama,1995,372
Panama,2005,1108
Panama,2010,2621
Panama,2020,1853
Panama,2021,3611
Panama,2022,7388
Papua New Guinea,2005,7
Papua New Guinea,2010,2
Papua New Guinea,2020,2
Papua New Guinea,2021,2
Paraguay,1995,162
Paraguay,2005,96
Paraguay,2010,434
Paraguay,2020,212
Paraguay,2021,102
