Country,Year,NationalCurrency,Value
Sri Lanka,2005,Sri Lanka Rupee (LKR),102.1
Sri Lanka,2010,Sri Lanka Rupee (LKR),111
Sri Lanka,2015,Sri Lanka Rupee (LKR),144.1
Sri Lanka,2020,Sri Lanka Rupee (LKR),186.4
Sri Lanka,2021,Sri Lanka Rupee (LKR),200.4
Sudan,1995,Sudanese Pound (SDG),0.5
Sudan,2005,Sudanese Pound (SDG),2.3
Sudan,2010,Sudanese Pound (SDG),2.5
Sudan,2015,Sudanese Pound (SDG),6.1
Sudan,2020,Sudanese Pound (SDG),55
Sudan,2021,Sudanese Pound (SDG),436.3
Sudan,2022,Sudanese Pound (SDG),578.2
Suriname,1995,Surinam Dollar (SRD),0.4
Suriname,2005,Surinam Dollar (SRD),2.7
Suriname,2010,Surinam Dollar (SRD),2.7
Suriname,2015,Surinam Dollar (SRD),4
Suriname,2020,Surinam Dollar (SRD),14.2
Suriname,2021,Surinam Dollar (SRD),21.1
Suriname,2022,Surinam Dollar (SRD),31.8
Suriname,2023,Surinam Dollar (SRD),36.7
Svalbard and Jan Mayen Is.,1995,Norwegian Krone (NOK),6.3
Svalbard and Jan Mayen Is.,2005,Norwegian Krone (NOK),6.8
Svalbard and Jan Mayen Is.,2010,Norwegian Krone (NOK),5.9
Svalbard and Jan Mayen Is.,2015,Norwegian Krone (NOK),8.8
Svalbard and Jan Mayen Is.,2020,Norwegian Krone (NOK),8.5
Svalbard and Jan Mayen Is.,2021,Norwegian Krone (NOK),8.8
Svalbard and Jan Mayen Is.,2022,Norwegian Krone (NOK),9.9
Svalbard and Jan Mayen Is.,2023,Norwegian Krone (NOK),10.2
Sweden,1995,Swedish Krona (SEK),6.7
Sweden,2005,Swedish Krona (SEK),8
Sweden,2010,Swedish Krona (SEK),6.7
Sweden,2015,Swedish Krona (SEK),8.4
Sweden,2020,Swedish Krona (SEK),8.2
Sweden,2021,Swedish Krona (SEK),9
Sweden,2022,Swedish Krona (SEK),10.4
Sweden,2023,Swedish Krona (SEK),10
Switzerland,1995,Swiss Franc (CHF),1.2
Switzerland,2005,Swiss Franc (CHF),1.3
Switzerland,2010,Swiss Franc (CHF),0.9
Switzerland,2015,Swiss Franc (CHF),1
Switzerland,2020,Swiss Franc (CHF),0.9
Switzerland,2021,Swiss Franc (CHF),0.9
Switzerland,2022,Swiss Franc (CHF),0.9
Switzerland,2023,Swiss Franc (CHF),0.8
Syrian Arab Republic,2023,Syrian Pound (SYP),12500.00
Tajikistan,1995,Somoni (TJS),0.3
Tajikistan,2005,Somoni (TJS),3.2
Tajikistan,2010,Somoni (TJS),4.4
Tajikistan,2015,Somoni (TJS),7
Tajikistan,2020,Somoni (TJS),11.3
Tajikistan,2021,Somoni (TJS),11.3
Tajikistan,2022,Somoni (TJS),10.2
Tajikistan,2023,Somoni (TJS),11
Thailand,1995,Baht (THB),25.2
Thailand,2005,Baht (THB),41
Thailand,2010,Baht (THB),30.2
Thailand,2015,Baht (THB),36.1
Thailand,2020,Baht (THB),30
Thailand,2021,Baht (THB),33.4
Thailand,2022,Baht (THB),34.6
Thailand,2023,Baht (THB),34.2
Togo,1995,"CFA Franc, BCEAO (XOF)",490
Togo,2005,"CFA Franc, BCEAO (XOF)",556
Togo,2010,"CFA Franc, BCEAO (XOF)",490.9
Togo,2015,"CFA Franc, BCEAO (XOF)",602.5
Togo,2020,"CFA Franc, BCEAO (XOF)",534.6
Togo,2021,"CFA Franc, BCEAO (XOF)",579.2
Togo,2022,"CFA Franc, BCEAO (XOF)",615
Togo,2023,"CFA Franc, BCEAO (XOF)",593.6
Tokelau,1995,New Zealand Dollar (NZD),1.5
Tokelau,2005,New Zealand Dollar (NZD),1.5
Tokelau,2010,New Zealand Dollar (NZD),1.3
Tokelau,2015,New Zealand Dollar (NZD),1.5
Tokelau,2020,New Zealand Dollar (NZD),1.4
Tokelau,2021,New Zealand Dollar (NZD),1.5
Tokelau,2022,New Zealand Dollar (NZD),1.6
Tokelau,2023,New Zealand Dollar (NZD),1.6
Tonga,1995,Pa'anga (TOP),1.3
Tonga,2005,Pa'anga (TOP),2.1
Tonga,2010,Pa'anga (TOP),1.8
Tonga,2015,Pa'anga (TOP),2.2
Tonga,2020,Pa'anga (TOP),2.3
Tonga,2021,Pa'anga (TOP),2.3
Tonga,2022,Pa'anga (TOP),2.3
Tonga,2023,Pa'anga (TOP),2.3
Trinidad and Tobago,1995,TT Dollar (TTD),6
Trinidad and Tobago,2005,TT Dollar (TTD),6.3
Trinidad and Tobago,2010,TT Dollar (TTD),6.4
Trinidad and Tobago,2015,TT Dollar (TTD),6.4
Trinidad and Tobago,2020,TT Dollar (TTD),6.7
Trinidad and Tobago,2021,TT Dollar (TTD),6.8
Trinidad and Tobago,2022,TT Dollar (TTD),6.7
Trinidad and Tobago,2023,TT Dollar (TTD),6.8
Tunisia,1995,Tunisian Dinar (TND),1
Tunisia,2005,Tunisian Dinar (TND),1.4
Tunisia,2010,Tunisian Dinar (TND),1.4
Tunisia,2015,Tunisian Dinar (TND),2
Tunisia,2020,Tunisian Dinar (TND),2.7
Tunisia,2021,Tunisian Dinar (TND),2.9
Tunisia,2022,Tunisian Dinar (TND),3.1
Tunisia,2023,Tunisian Dinar (TND),3.1
Turkiye,2023,Turkish Lira (TRY),29.5
Turkmenistan,2010,Turkmen. Manat (TMT),3.5
Turkmenistan,2015,Turkmen. Manat (TMT),3.5
Turkmenistan,2020,Turkmen. Manat (TMT),3.5
Turkmenistan,2021,Turkmen. Manat (TMT),3.5
Turkmenistan,2022,Turkmen. Manat (TMT),3.5
Turkmenistan,2023,Turkmen. Manat (TMT),3.5
Tuvalu,1995,Australian Dollar (AUD),1.3
Tuvalu,2005,Australian Dollar (AUD),1.4
Tuvalu,2010,Australian Dollar (AUD),1
Tuvalu,2015,Australian Dollar (AUD),1.4
Tuvalu,2020,Australian Dollar (AUD),1.3
Tuvalu,2021,Australian Dollar (AUD),1.4
Tuvalu,2022,Australian Dollar (AUD),1.5
Tuvalu,2023,Australian Dollar (AUD),1.5
Uganda,2023,Uganda Shilling (UGX),3782.20
Ukraine,1995,Hryvnia (UAH),1.8
Ukraine,2005,Hryvnia (UAH),5.1
Ukraine,2010,Hryvnia (UAH),8
Ukraine,2015,Hryvnia (UAH),24
Ukraine,2020,Hryvnia (UAH),28.3
Ukraine,2021,Hryvnia (UAH),27.3
Ukraine,2022,Hryvnia (UAH),36.6
Ukraine,2023,Hryvnia (UAH),38
United Arab Emirates,1995,UAE Dirham (AED),3.7
United Arab Emirates,2005,UAE Dirham (AED),3.7
United Arab Emirates,2010,UAE Dirham (AED),3.7
United Arab Emirates,2015,UAE Dirham (AED),3.7
United Arab Emirates,2020,UAE Dirham (AED),3.7
United Arab Emirates,2021,UAE Dirham (AED),3.7
United Arab Emirates,2022,UAE Dirham (AED),3.7
United Arab Emirates,2023,UAE Dirham (AED),3.7
United Kingdom,1995,Pound Sterling (GBP),0.6
United Kingdom,2005,Pound Sterling (GBP),0.6
United Kingdom,2010,Pound Sterling (GBP),0.6
United Kingdom,2015,Pound Sterling (GBP),0.7
United Kingdom,2020,Pound Sterling (GBP),0.7
United Kingdom,2021,Pound Sterling (GBP),0.7
United Kingdom,2022,Pound Sterling (GBP),0.8
United Kingdom,2023,Pound Sterling (GBP),0.8
United Rep. of Tanzania,2021,Tanzanian Shilling (TZS),2297.60
Uruguay,1995,Peso Uruguayo (UYU),7.1
Uruguay,2005,Peso Uruguayo (UYU),24.1
Uruguay,2010,Peso Uruguayo (UYU),20.1
Uruguay,2015,Peso Uruguayo (UYU),29.9
Uruguay,2020,Peso Uruguayo (UYU),42.3
Uruguay,2021,Peso Uruguayo (UYU),44.7
Uruguay,2022,Peso Uruguayo (UYU),40.1
Uruguay,2023,Peso Uruguayo (UYU),39
Uzbekistan,2023,Uzbekistan Sum (UZS),12340.00
Vanuatu,1995,Vatu (VUV),113.7
Vanuatu,2005,Vatu (VUV),112.3
Vanuatu,2010,Vatu (VUV),93.2
Vanuatu,2015,Vatu (VUV),110.5
Vanuatu,2020,Vatu (VUV),107.7
Vanuatu,2021,Vatu (VUV),112.2
Vanuatu,2022,Vatu (VUV),117.2
Vanuatu,2023,Vatu (VUV),116.5
Venezuela (Boliv. Rep. of),2015,Bolivar (VED),6.3
Viet Nam,2023,Dong (VND),23866.00
Wallis and Futuna Islands,1995,CFP Franc (XPF),89.1
Wallis and Futuna Islands,2005,CFP Franc (XPF),101.2
Wallis and Futuna Islands,2010,CFP Franc (XPF),89.3
Wallis and Futuna Islands,2015,CFP Franc (XPF),109.6
Wallis and Futuna Islands,2020,CFP Franc (XPF),97.2
Wallis and Futuna Islands,2021,CFP Franc (XPF),105.4
Wallis and Futuna Islands,2022,CFP Franc (XPF),111.9
Wallis and Futuna Islands,2023,CFP Franc (XPF),108
Western Sahara,1995,Moroccan Dirham (MAD),8.5
Western Sahara,2005,Moroccan Dirham (MAD),9.2
Western Sahara,2010,Moroccan Dirham (MAD),8.4
Western Sahara,2015,Moroccan Dirham (MAD),9.9
Western Sahara,2020,Moroccan Dirham (MAD),8.9
Western Sahara,2021,Moroccan Dirham (MAD),9.3
Western Sahara,2022,Moroccan Dirham (MAD),10.4
Western Sahara,2023,Moroccan Dirham (MAD),9.9
Zambia,1995,Zambian Kwacha (ZMW),1
Zambia,2005,Zambian Kwacha (ZMW),3.5
Zambia,2010,Zambian Kwacha (ZMW),4.8
Zambia,2015,Zambian Kwacha (ZMW),11
Zambia,2020,Zambian Kwacha (ZMW),21.2
Zambia,2021,Zambian Kwacha (ZMW),16.7
Zambia,2022,Zambian Kwacha (ZMW),18.1
Zambia,2023,Zambian Kwacha (ZMW),25.7
Zimbabwe,1995,Zimbabwe Dollar (ZWL),0
Zimbabwe,2005,Zimbabwe Dollar (ZWL),80.8
Euro Area,2005,Euro (EUR),0.8
Euro Area,2010,Euro (EUR),0.7
Euro Area,2015,Euro (EUR),0.9
Euro Area,2020,Euro (EUR),0.8
Euro Area,2021,Euro (EUR),0.9
Euro Area,2022,Euro (EUR),0.9
Euro Area,2023,Euro (EUR),0.9
